archetype,signal,signal_kind,n_users,p25,p50,p75,mean
The Pair Programmer,in_review_edge_case_surface,interpretive,16,0.2875,0.3333,0.4821,0.3679
The Pair Programmer,external_reality_disclosure,interpretive,16,0.5000,0.6146,0.7330,0.5943
The Pair Programmer,intent_reframe,interpretive,16,0.3646,0.5477,0.6875,0.5555
The Pair Programmer,edge_case_failure_observed,interpretive,16,0.4234,0.5417,0.6875,0.5387
The Pair Programmer,iteration_count,deterministic,16,13.6250,18.0000,27.6250,22.5312
The Pair Programmer,edit_iteration_count,deterministic,16,5.3750,7.5000,8.6250,8.7812
The Pair Programmer,research_iteration_count,deterministic,16,6.7500,8.7500,11.2500,10.7812
The Pair Programmer,tool_call_density,deterministic,16,5.7851,9.4231,11.6008,9.0611
The Pair Programmer,tool_diversity,deterministic,16,0.0405,0.0718,0.0764,0.0770
The Pair Programmer,edit_focus,deterministic,16,0.2318,0.2896,0.4252,0.3378
The Pair Programmer,course_correction_count,deterministic,16,1.0000,3.0000,4.0000,2.6250
The Pair Programmer,late_pause_count,deterministic,16,1.0000,1.5000,5.2500,4.4375
The Pair Programmer,median_pause_seconds,deterministic,16,3.0000,4.0000,5.2500,4.9062
The Pair Programmer,prompt_length_ratio,deterministic,16,0.6933,1.0000,1.1054,1.0142
The Pair Programmer,tests_attempted,deterministic,16,0.0000,0.0000,1.0000,0.3750
The Pair Programmer,tests_run_count,deterministic,16,0.0000,0.0000,4.6250,6.4375
The Pair Programmer,diff_reviewed,deterministic,16,0.0000,0.0000,1.0000,0.4375
The Patcher,problem_statement_explicit,interpretive,19,0.4583,0.5909,0.6852,0.5698
The Patcher,cited_team_convention,interpretive,19,0.0000,0.0000,0.0185,0.0306
The Patcher,context_loading_directive,interpretive,19,0.0774,0.2000,0.4143,0.2576
The Patcher,existing_code_shared,interpretive,19,0.0000,0.0000,0.0378,0.0282
The Patcher,test_or_spec_provided,interpretive,19,0.0000,0.0415,0.1484,0.1360
The Patcher,decomposition,interpretive,19,0.0909,0.1818,0.3667,0.2582
The Patcher,requested_plan_mode,interpretive,19,0.0000,0.0000,0.0472,0.0321
The Patcher,plan_approved,interpretive,19,0.0000,0.0000,0.0419,0.0342
The Patcher,plan_rejected,interpretive,19,0.0000,0.0000,0.0000,0.0049
The Patcher,plan_edited,interpretive,19,0.0000,0.0000,0.0000,0.0076
The Patcher,pointed_to_specific_issue,interpretive,19,0.1042,0.2151,0.2864,0.2008
The Patcher,ran_and_reported,interpretive,19,0.0357,0.0909,0.1835,0.1159
The Patcher,asked_why_choice,interpretive,19,0.0000,0.0000,0.0283,0.0335
The Patcher,asked_for_alternative,interpretive,19,0.0000,0.0000,0.1214,0.0635
The Patcher,asked_about_tradeoffs,interpretive,19,0.0000,0.0000,0.0579,0.0363
The Patcher,requested_diff_review,interpretive,19,0.0000,0.0000,0.0000,0.0123
The Patcher,rejected_approach,interpretive,19,0.0000,0.0769,0.1396,0.0836
The Patcher,constraint_added_later,interpretive,19,0.0556,0.1667,0.2290,0.1688
The Patcher,change_request_specific,interpretive,19,0.1010,0.1818,0.2328,0.1660
The Patcher,change_request_vague,interpretive,19,0.0000,0.0133,0.1080,0.0598
The Patcher,tool_use_steering,interpretive,19,0.0000,0.0000,0.0774,0.0450
The Patcher,subagent_explicitly_delegated,interpretive,19,0.0000,0.0000,0.0000,0.0228
The Patcher,workflow_step_delegation,interpretive,19,0.2071,0.4615,0.5505,0.3821
The Patcher,safety_constraint_set,interpretive,19,0.0000,0.0370,0.0955,0.0619
The Patcher,meta_behavioral_steering,interpretive,19,0.0000,0.0415,0.1623,0.0745
The Patcher,accept_verbatim_no_question,interpretive,19,0.0227,0.1044,0.2000,0.1358
The Patcher,fix_request_without_specifics,interpretive,19,0.1153,0.1538,0.2000,0.1609
The Patcher,repeated_same_prompt,interpretive,19,0.0000,0.0264,0.0955,0.0630
The Patcher,error_repaste,interpretive,19,0.0000,0.0000,0.0584,0.0359
The Patcher,post_implementation_correction,interpretive,19,0.1304,0.1818,0.2614,0.1839
The Patcher,in_review_edge_case_surface,interpretive,19,0.0000,0.0868,0.1609,0.1070
The Patcher,external_reality_disclosure,interpretive,19,0.0385,0.1250,0.1742,0.1164
The Patcher,intent_reframe,interpretive,19,0.0907,0.1250,0.1678,0.1475
The Patcher,edge_case_failure_observed,interpretive,19,0.0774,0.1818,0.2265,0.1709
The Patcher,iteration_count,deterministic,19,2.2500,3.0000,4.2500,3.6053
The Patcher,edit_iteration_count,deterministic,19,1.0000,1.5000,2.0000,2.0526
The Patcher,research_iteration_count,deterministic,19,1.0000,2.0000,2.0000,2.0789
The Patcher,tool_call_density,deterministic,19,6.3021,7.0000,13.8680,9.3575
The Patcher,tool_diversity,deterministic,19,0.1103,0.1538,0.2276,0.1805
The Patcher,edit_focus,deterministic,19,0.2563,0.4074,0.5357,0.3946
The Patcher,course_correction_count,deterministic,19,0.0000,0.5000,1.0000,0.5526
The Patcher,late_pause_count,deterministic,19,0.0000,0.0000,0.5000,0.3684
The Patcher,median_pause_seconds,deterministic,19,3.0000,3.0000,4.0000,3.6316
The Patcher,prompt_length_ratio,deterministic,19,1.0000,1.0000,1.0000,1.0000
The Patcher,tests_attempted,deterministic,19,0.0000,0.0000,0.0000,0.1842
The Patcher,tests_run_count,deterministic,19,0.0000,0.0000,0.0000,0.7368
The Patcher,diff_reviewed,deterministic,19,0.0000,0.0000,0.0000,0.1579
The Manager,problem_statement_explicit,interpretive,44,0.6667,0.7543,0.8303,0.7369
The Manager,cited_team_convention,interpretive,44,0.0000,0.0000,0.1514,0.1039
The Manager,context_loading_directive,interpretive,44,0.3672,0.4817,0.6062,0.4981
The Manager,existing_code_shared,interpretive,44,0.0000,0.0269,0.1542,0.0809
The Manager,test_or_spec_provided,interpretive,44,0.0097,0.3333,0.4042,0.2786
The Manager,decomposition,interpretive,44,0.4919,0.5571,0.6667,0.5626
The Manager,requested_plan_mode,interpretive,44,0.0000,0.0000,0.1571,0.0781
The Manager,plan_approved,interpretive,44,0.0000,0.0264,0.1571,0.1089
The Manager,plan_rejected,interpretive,44,0.0000,0.0000,0.0000,0.0021
The Manager,plan_edited,interpretive,44,0.0000,0.0000,0.0000,0.0108
The Manager,pointed_to_specific_issue,interpretive,44,0.0656,0.2034,0.3689,0.2288
The Manager,ran_and_reported,interpretive,44,0.0000,0.0792,0.1667,0.1198
The Manager,asked_why_choice,interpretive,44,0.0000,0.0074,0.0909,0.0636
The Manager,asked_for_alternative,interpretive,44,0.0000,0.0980,0.1719,0.1181
The Manager,asked_about_tradeoffs,interpretive,44,0.0000,0.0496,0.0875,0.0681
The Manager,requested_diff_review,interpretive,44,0.0000,0.0000,0.0061,0.0237
The Manager,rejected_approach,interpretive,44,0.0161,0.0839,0.2000,0.1292
The Manager,constraint_added_later,interpretive,44,0.1149,0.2583,0.4000,0.2709
The Manager,change_request_specific,interpretive,44,0.0794,0.2480,0.3354,0.2463
The Manager,change_request_vague,interpretive,44,0.0000,0.0000,0.0173,0.0241
The Manager,tool_use_steering,interpretive,44,0.0000,0.0372,0.2211,0.1452
The Manager,subagent_explicitly_delegated,interpretive,44,0.0000,0.1164,0.2783,0.1590
The Manager,workflow_step_delegation,interpretive,44,0.3320,0.5000,0.7500,0.5346
The Manager,safety_constraint_set,interpretive,44,0.0000,0.0749,0.2726,0.1516
The Manager,meta_behavioral_steering,interpretive,44,0.0439,0.1484,0.2500,0.1748
The Manager,accept_verbatim_no_question,interpretive,44,0.0000,0.0686,0.1705,0.1025
The Manager,fix_request_without_specifics,interpretive,44,0.0000,0.0000,0.0408,0.0276
The Manager,repeated_same_prompt,interpretive,44,0.0000,0.0338,0.0852,0.0622
The Manager,error_repaste,interpretive,44,0.0000,0.0000,0.0000,0.0005
The Manager,post_implementation_correction,interpretive,44,0.1011,0.1742,0.3014,0.2030
The Manager,in_review_edge_case_surface,interpretive,44,0.0000,0.0732,0.2156,0.1226
The Manager,external_reality_disclosure,interpretive,44,0.0721,0.2000,0.3362,0.2189
The Manager,intent_reframe,interpretive,44,0.0438,0.1556,0.2454,0.1704
The Manager,edge_case_failure_observed,interpretive,44,0.0000,0.0774,0.2073,0.1238
The Manager,iteration_count,deterministic,44,2.8750,4.0000,7.0000,4.8295
The Manager,edit_iteration_count,deterministic,44,1.0000,2.0000,3.0000,2.0227
The Manager,research_iteration_count,deterministic,44,1.0000,2.0000,3.0000,2.3295
The Manager,tool_call_density,deterministic,44,6.6635,9.0000,11.5833,10.2831
The Manager,tool_diversity,deterministic,44,0.1169,0.1553,0.2097,0.1760
The Manager,edit_focus,deterministic,44,0.3646,0.4535,0.5575,0.4790
The Manager,course_correction_count,deterministic,44,0.0000,0.5000,1.0000,0.5795
The Manager,late_pause_count,deterministic,44,0.0000,0.0000,1.0000,0.5341
The Manager,median_pause_seconds,deterministic,44,3.0000,4.0000,4.0000,3.8636
The Manager,prompt_length_ratio,deterministic,44,0.8115,1.0000,1.0000,0.9211
The Manager,tests_attempted,deterministic,44,0.0000,0.0000,0.1250,0.2386
The Manager,tests_run_count,deterministic,44,0.0000,0.0000,0.1250,0.4545
The Manager,diff_reviewed,deterministic,44,0.0000,0.0000,0.0000,0.1591
The Reality Tester,problem_statement_explicit,interpretive,16,0.5783,0.6458,0.7167,0.6416
The Reality Tester,cited_team_convention,interpretive,16,0.0000,0.0066,0.0374,0.0275
The Reality Tester,context_loading_directive,interpretive,16,0.0697,0.1559,0.2557,0.1593
The Reality Tester,existing_code_shared,interpretive,16,0.0000,0.0324,0.0728,0.0593
The Reality Tester,test_or_spec_provided,interpretive,16,0.0000,0.0608,0.1380,0.1104
The Reality Tester,decomposition,interpretive,16,0.1256,0.2500,0.3448,0.2543
The Reality Tester,requested_plan_mode,interpretive,16,0.0000,0.0000,0.0151,0.0134
The Reality Tester,plan_approved,interpretive,16,0.0000,0.0359,0.0721,0.0541
The Reality Tester,plan_rejected,interpretive,16,0.0000,0.0000,0.0000,0.0008
The Reality Tester,plan_edited,interpretive,16,0.0000,0.0000,0.0000,0.0089
The Reality Tester,pointed_to_specific_issue,interpretive,16,0.3022,0.3575,0.4555,0.3759
The Reality Tester,ran_and_reported,interpretive,16,0.2193,0.2775,0.3813,0.3170
The Reality Tester,asked_why_choice,interpretive,16,0.0929,0.1624,0.2396,0.1791
The Reality Tester,asked_for_alternative,interpretive,16,0.0197,0.0742,0.2056,0.1069
The Reality Tester,asked_about_tradeoffs,interpretive,16,0.0179,0.0970,0.2589,0.1387
The Reality Tester,requested_diff_review,interpretive,16,0.0000,0.0000,0.0000,0.0186
The Reality Tester,rejected_approach,interpretive,16,0.0755,0.1423,0.2028,0.1480
The Reality Tester,constraint_added_later,interpretive,16,0.1917,0.2893,0.3613,0.2852
The Reality Tester,change_request_specific,interpretive,16,0.2738,0.3153,0.3726,0.3227
The Reality Tester,change_request_vague,interpretive,16,0.0000,0.0000,0.0151,0.0248
The Reality Tester,tool_use_steering,interpretive,16,0.0000,0.0000,0.0401,0.0370
The Reality Tester,subagent_explicitly_delegated,interpretive,16,0.0000,0.0000,0.0497,0.0297
The Reality Tester,workflow_step_delegation,interpretive,16,0.4324,0.5192,0.6098,0.5057
The Reality Tester,safety_constraint_set,interpretive,16,0.0000,0.0000,0.0409,0.0362
The Reality Tester,meta_behavioral_steering,interpretive,16,0.0755,0.1283,0.1571,0.1215
The Reality Tester,accept_verbatim_no_question,interpretive,16,0.0000,0.0540,0.1073,0.0751
The Reality Tester,fix_request_without_specifics,interpretive,16,0.0000,0.0304,0.0502,0.0521
The Reality Tester,repeated_same_prompt,interpretive,16,0.0000,0.0270,0.0819,0.0611
The Reality Tester,error_repaste,interpretive,16,0.0000,0.0000,0.0000,0.0048
The Reality Tester,post_implementation_correction,interpretive,16,0.1827,0.2500,0.3133,0.2535
The Reality Tester,in_review_edge_case_surface,interpretive,16,0.0929,0.1484,0.2850,0.1946
The Reality Tester,external_reality_disclosure,interpretive,16,0.2240,0.2967,0.3571,0.3001
The Reality Tester,intent_reframe,interpretive,16,0.1160,0.1764,0.2815,0.2117
The Reality Tester,edge_case_failure_observed,interpretive,16,0.1719,0.2815,0.3679,0.3016
The Reality Tester,iteration_count,deterministic,16,4.0000,5.0000,8.1250,7.4062
The Reality Tester,edit_iteration_count,deterministic,16,1.5000,2.0000,2.6250,2.7500
The Reality Tester,research_iteration_count,deterministic,16,2.0000,2.5000,5.0000,3.5625
The Reality Tester,tool_call_density,deterministic,16,5.7750,7.7917,10.6875,8.5406
The Reality Tester,tool_diversity,deterministic,16,0.0827,0.1237,0.1601,0.1289
The Reality Tester,edit_focus,deterministic,16,0.3836,0.4608,0.5561,0.4622
The Reality Tester,course_correction_count,deterministic,16,0.7500,1.0000,1.0000,0.8750
The Reality Tester,late_pause_count,deterministic,16,0.3750,1.0000,1.1250,1.2188
The Reality Tester,median_pause_seconds,deterministic,16,3.0000,3.7500,4.0000,5.2188
The Reality Tester,prompt_length_ratio,deterministic,16,1.0000,1.0000,1.0000,1.0639
The Reality Tester,tests_attempted,deterministic,16,0.0000,0.0000,0.0000,0.1250
The Reality Tester,tests_run_count,deterministic,16,0.0000,0.0000,0.0000,0.5312
The Reality Tester,diff_reviewed,deterministic,16,0.0000,0.0000,0.5000,0.2500
The Spec-First Architect,problem_statement_explicit,interpretive,6,0.6000,0.6182,0.7072,0.6481
The Spec-First Architect,cited_team_convention,interpretive,6,0.0000,0.0000,0.0167,0.0113
The Spec-First Architect,context_loading_directive,interpretive,6,0.2173,0.2710,0.2825,0.2194
The Spec-First Architect,existing_code_shared,interpretive,6,0.0000,0.0227,0.1947,0.1108
The Spec-First Architect,test_or_spec_provided,interpretive,6,0.2157,0.3429,0.4333,0.3681
The Spec-First Architect,decomposition,interpretive,6,0.2378,0.2775,0.4214,0.3081
The Spec-First Architect,requested_plan_mode,interpretive,6,0.0000,0.0111,0.0344,0.0177
The Spec-First Architect,plan_approved,interpretive,6,0.0000,0.0111,0.0632,0.0403
The Spec-First Architect,plan_rejected,interpretive,6,0.0000,0.0000,0.0000,0.0000
The Spec-First Architect,plan_edited,interpretive,6,0.0000,0.0000,0.0000,0.0000
The Spec-First Architect,pointed_to_specific_issue,interpretive,6,0.0222,0.1354,0.2474,0.1376
The Spec-First Architect,ran_and_reported,interpretive,6,0.0516,0.1010,0.1349,0.1306
The Spec-First Architect,asked_why_choice,interpretive,6,0.0000,0.0000,0.0333,0.0150
The Spec-First Architect,asked_for_alternative,interpretive,6,0.0000,0.0333,0.0848,0.0501
The Spec-First Architect,asked_about_tradeoffs,interpretive,6,0.0000,0.0000,0.0000,0.0074
The Spec-First Architect,requested_diff_review,interpretive,6,0.0000,0.0000,0.0000,0.0000
The Spec-First Architect,rejected_approach,interpretive,6,0.0111,0.0607,0.1264,0.0819
The Spec-First Architect,constraint_added_later,interpretive,6,0.0111,0.1222,0.2205,0.1235
The Spec-First Architect,change_request_specific,interpretive,6,0.0000,0.0667,0.1356,0.0770
The Spec-First Architect,change_request_vague,interpretive,6,0.0096,0.0526,0.1238,0.0747
The Spec-First Architect,tool_use_steering,interpretive,6,0.0000,0.0000,0.0938,0.0446
The Spec-First Architect,subagent_explicitly_delegated,interpretive,6,0.0000,0.0000,0.0000,0.0000
The Spec-First Architect,workflow_step_delegation,interpretive,6,0.4245,0.4921,0.6162,0.4739
The Spec-First Architect,safety_constraint_set,interpretive,6,0.0000,0.0192,0.0437,0.0765
The Spec-First Architect,meta_behavioral_steering,interpretive,6,0.0000,0.0000,0.0938,0.0436
The Spec-First Architect,accept_verbatim_no_question,interpretive,6,0.0192,0.1066,0.2008,0.1393
The Spec-First Architect,fix_request_without_specifics,interpretive,6,0.0114,0.0561,0.0744,0.0648
The Spec-First Architect,repeated_same_prompt,interpretive,6,0.0000,0.0000,0.0000,0.0000
The Spec-First Architect,error_repaste,interpretive,6,0.0000,0.0000,0.0000,0.0000
The Spec-First Architect,post_implementation_correction,interpretive,6,0.0192,0.1066,0.1412,0.0853
The Spec-First Architect,in_review_edge_case_surface,interpretive,6,0.0000,0.0000,0.0167,0.0101
The Spec-First Architect,external_reality_disclosure,interpretive,6,0.0788,0.1291,0.1857,0.1254
The Spec-First Architect,intent_reframe,interpretive,6,0.0222,0.1021,0.1311,0.0901
The Spec-First Architect,edge_case_failure_observed,interpretive,6,0.0000,0.0714,0.1524,0.0800
The Spec-First Architect,iteration_count,deterministic,6,2.0000,2.5000,3.0000,2.5000
The Spec-First Architect,edit_iteration_count,deterministic,6,1.0000,1.0000,1.7500,1.1667
The Spec-First Architect,research_iteration_count,deterministic,6,1.0000,1.0000,1.7500,1.1667
The Spec-First Architect,tool_call_density,deterministic,6,8.9125,9.4500,12.1250,9.4417
The Spec-First Architect,tool_diversity,deterministic,6,0.1618,0.1852,0.2099,0.3067
The Spec-First Architect,edit_focus,deterministic,6,0.2976,0.3667,0.5219,0.3878
The Spec-First Architect,course_correction_count,deterministic,6,0.6250,1.0000,1.0000,0.7500
The Spec-First Architect,late_pause_count,deterministic,6,0.0000,0.0000,0.7500,0.5000
The Spec-First Architect,median_pause_seconds,deterministic,6,3.0000,3.0000,3.0000,3.1667
The Spec-First Architect,prompt_length_ratio,deterministic,6,1.0000,1.0000,1.0000,1.0000
The Spec-First Architect,tests_attempted,deterministic,6,0.0000,0.0000,0.0000,0.1667
The Spec-First Architect,tests_run_count,deterministic,6,0.0000,0.0000,0.0000,0.1667
The Spec-First Architect,diff_reviewed,deterministic,6,0.0000,0.0000,0.0000,0.0000
The Streamliner,problem_statement_explicit,interpretive,3,0.4792,0.6250,0.6458,0.5417
The Streamliner,cited_team_convention,interpretive,3,0.0000,0.0000,0.0312,0.0208
The Streamliner,context_loading_directive,interpretive,3,0.0000,0.0000,0.0625,0.0417
The Streamliner,existing_code_shared,interpretive,3,0.0000,0.0000,0.0000,0.0000
The Streamliner,test_or_spec_provided,interpretive,3,0.0000,0.0000,0.0312,0.0208
The Streamliner,decomposition,interpretive,3,0.0000,0.0000,0.1250,0.0833
The Streamliner,requested_plan_mode,interpretive,3,0.0000,0.0000,0.0000,0.0000
The Streamliner,plan_approved,interpretive,3,0.0625,0.1250,0.2292,0.1528
The Streamliner,plan_rejected,interpretive,3,0.0000,0.0000,0.0000,0.0000
The Streamliner,plan_edited,interpretive,3,0.0000,0.0000,0.0000,0.0000
The Streamliner,pointed_to_specific_issue,interpretive,3,0.0000,0.0000,0.1667,0.1111
The Streamliner,ran_and_reported,interpretive,3,0.0000,0.0000,0.0000,0.0000
The Streamliner,asked_why_choice,interpretive,3,0.0000,0.0000,0.0312,0.0208
The Streamliner,asked_for_alternative,interpretive,3,0.0000,0.0000,0.0312,0.0208
The Streamliner,asked_about_tradeoffs,interpretive,3,0.0000,0.0000,0.0312,0.0208
The Streamliner,requested_diff_review,interpretive,3,0.0000,0.0000,0.0000,0.0000
The Streamliner,rejected_approach,interpretive,3,0.0000,0.0000,0.0625,0.0417
The Streamliner,constraint_added_later,interpretive,3,0.0938,0.1875,0.2604,0.1736
The Streamliner,change_request_specific,interpretive,3,0.1250,0.2500,0.2917,0.1944
The Streamliner,change_request_vague,interpretive,3,0.0000,0.0000,0.0000,0.0000
The Streamliner,tool_use_steering,interpretive,3,0.0000,0.0000,0.0000,0.0000
The Streamliner,subagent_explicitly_delegated,interpretive,3,0.0000,0.0000,0.0625,0.0417
The Streamliner,workflow_step_delegation,interpretive,3,0.6146,0.6667,0.6667,0.6319
The Streamliner,safety_constraint_set,interpretive,3,0.0000,0.0000,0.0000,0.0000
The Streamliner,meta_behavioral_steering,interpretive,3,0.0000,0.0000,0.0312,0.0208
The Streamliner,accept_verbatim_no_question,interpretive,3,0.0000,0.0000,0.0312,0.0208
The Streamliner,fix_request_without_specifics,interpretive,3,0.0000,0.0000,0.0000,0.0000
The Streamliner,repeated_same_prompt,interpretive,3,0.0000,0.0000,0.0000,0.0000
The Streamliner,error_repaste,interpretive,3,0.0000,0.0000,0.0000,0.0000
The Streamliner,post_implementation_correction,interpretive,3,0.0625,0.1250,0.2292,0.1528
The Streamliner,in_review_edge_case_surface,interpretive,3,0.0000,0.0000,0.0000,0.0000
The Streamliner,external_reality_disclosure,interpretive,3,0.0312,0.0625,0.1979,0.1319
The Streamliner,intent_reframe,interpretive,3,0.0312,0.0625,0.1979,0.1319
The Streamliner,edge_case_failure_observed,interpretive,3,0.0000,0.0000,0.0312,0.0208
The Streamliner,iteration_count,deterministic,3,4.0000,6.0000,7.5000,5.6667
The Streamliner,edit_iteration_count,deterministic,3,1.5000,2.0000,2.7500,2.1667
The Streamliner,research_iteration_count,deterministic,3,2.0000,3.0000,3.2500,2.5000
The Streamliner,tool_call_density,deterministic,3,10.4931,16.8194,16.9097,12.6620
The Streamliner,tool_diversity,deterministic,3,0.1176,0.1600,0.1976,0.1568
The Streamliner,edit_focus,deterministic,3,0.5834,0.6667,0.8334,0.7222
The Streamliner,course_correction_count,deterministic,3,0.5000,1.0000,1.0000,0.6667
The Streamliner,late_pause_count,deterministic,3,0.0000,0.0000,0.0000,0.0000
The Streamliner,median_pause_seconds,deterministic,3,3.5000,4.0000,5.0000,4.3333
The Streamliner,prompt_length_ratio,deterministic,3,1.0000,1.0000,1.4723,1.3149
The Streamliner,tests_attempted,deterministic,3,0.0000,0.0000,0.0000,0.0000
The Streamliner,tests_run_count,deterministic,3,0.0000,0.0000,0.0000,0.0000
The Streamliner,diff_reviewed,deterministic,3,0.0000,0.0000,0.5000,0.3333
The Generalist,problem_statement_explicit,interpretive,16,0.3214,0.6394,0.6956,0.5363
The Generalist,cited_team_convention,interpretive,16,0.0000,0.0000,0.0049,0.0453
The Generalist,context_loading_directive,interpretive,16,0.1607,0.3333,0.3880,0.3107
The Generalist,existing_code_shared,interpretive,16,0.0000,0.0000,0.1017,0.0646
The Generalist,test_or_spec_provided,interpretive,16,0.0000,0.0218,0.2224,0.1151
The Generalist,decomposition,interpretive,16,0.2147,0.2633,0.3438,0.2654
The Generalist,requested_plan_mode,interpretive,16,0.0000,0.0000,0.0036,0.0281
The Generalist,plan_approved,interpretive,16,0.0000,0.0000,0.0036,0.0320
The Generalist,plan_rejected,interpretive,16,0.0000,0.0000,0.0000,0.0078
The Generalist,plan_edited,interpretive,16,0.0000,0.0000,0.0000,0.0003
The Generalist,pointed_to_specific_issue,interpretive,16,0.0000,0.1339,0.1964,0.1581
The Generalist,ran_and_reported,interpretive,16,0.0000,0.0401,0.1400,0.1119
The Generalist,asked_why_choice,interpretive,16,0.0000,0.0000,0.0831,0.0692
The Generalist,asked_for_alternative,interpretive,16,0.0000,0.0000,0.0481,0.0277
The Generalist,asked_about_tradeoffs,interpretive,16,0.0000,0.0000,0.0557,0.0370
The Generalist,requested_diff_review,interpretive,16,0.0000,0.0000,0.0000,0.0000
The Generalist,rejected_approach,interpretive,16,0.0000,0.0000,0.0192,0.0396
The Generalist,constraint_added_later,interpretive,16,0.0681,0.1603,0.2708,0.1826
The Generalist,change_request_specific,interpretive,16,0.0000,0.1442,0.2644,0.1551
The Generalist,change_request_vague,interpretive,16,0.0000,0.0000,0.0012,0.0093
The Generalist,tool_use_steering,interpretive,16,0.0000,0.0508,0.1510,0.0936
The Generalist,subagent_explicitly_delegated,interpretive,16,0.0000,0.0000,0.0036,0.0094
The Generalist,workflow_step_delegation,interpretive,16,0.3333,0.4643,0.6400,0.4443
The Generalist,safety_constraint_set,interpretive,16,0.0000,0.0000,0.0500,0.0459
The Generalist,meta_behavioral_steering,interpretive,16,0.0000,0.0000,0.0738,0.0770
The Generalist,accept_verbatim_no_question,interpretive,16,0.0000,0.0104,0.0934,0.0895
The Generalist,fix_request_without_specifics,interpretive,16,0.0000,0.0000,0.0520,0.0241
The Generalist,repeated_same_prompt,interpretive,16,0.0000,0.0000,0.0000,0.0240
The Generalist,error_repaste,interpretive,16,0.0000,0.0000,0.0000,0.0050
The Generalist,post_implementation_correction,interpretive,16,0.0000,0.0697,0.1488,0.1274
The Generalist,in_review_edge_case_surface,interpretive,16,0.0000,0.0000,0.0889,0.0665
The Generalist,external_reality_disclosure,interpretive,16,0.0000,0.0104,0.1687,0.1317
The Generalist,intent_reframe,interpretive,16,0.0000,0.0000,0.1582,0.0878
The Generalist,edge_case_failure_observed,interpretive,16,0.0000,0.0104,0.1158,0.1103
The Generalist,iteration_count,deterministic,16,2.0000,4.0000,5.1250,4.5000
The Generalist,edit_iteration_count,deterministic,16,1.0000,2.0000,3.0000,2.1250
The Generalist,research_iteration_count,deterministic,16,1.3750,2.0000,3.0000,2.3438
The Generalist,tool_call_density,deterministic,16,7.0625,9.1750,11.4167,9.9722
The Generalist,tool_diversity,deterministic,16,0.1379,0.1884,0.2315,0.1878
The Generalist,edit_focus,deterministic,16,0.3675,0.5000,0.5000,0.4553
The Generalist,course_correction_count,deterministic,16,0.0000,0.7500,1.0000,0.6875
The Generalist,late_pause_count,deterministic,16,0.0000,0.0000,0.0000,0.3750
The Generalist,median_pause_seconds,deterministic,16,3.0000,3.0000,3.6250,3.3438
