archetype,categorical_field,bucket,share_pct,n_sessions
The Spec-First Architect,task_type,implementation,40.7,46
The Spec-First Architect,task_type,debugging,15.0,17
The Spec-First Architect,task_type,refactor,13.3,15
The Spec-First Architect,task_type,unknown,11.5,13
The Spec-First Architect,task_type,other,10.6,12
The Spec-First Architect,task_type,documentation,4.4,5
The Spec-First Architect,task_type,configuration,3.5,4
The Spec-First Architect,task_type,migration,0.9,1
The Streamliner,session_shape,Unassigned,72.7,16
The Streamliner,session_shape,One-shot,9.1,2
The Streamliner,session_shape,Workshop,4.5,1
The Streamliner,session_shape,Clean handoff,4.5,1
The Streamliner,session_shape,Marathon Workshop,4.5,1
The Streamliner,session_shape,Tight Workshop,4.5,1
The Streamliner,interaction_style,delegative,45.5,10
The Streamliner,interaction_style,unknown,18.2,4
The Streamliner,interaction_style,augmentative,18.2,4
The Streamliner,interaction_style,mixed,18.2,4
The Streamliner,engagement_depth,moderate,45.5,10
The Streamliner,engagement_depth,high,22.7,5
The Streamliner,engagement_depth,unknown,18.2,4
The Streamliner,engagement_depth,low,9.1,2
The Streamliner,engagement_depth,minimal,4.5,1
The Streamliner,task_size,medium,81.8,18
The Streamliner,task_size,small,13.6,3
The Streamliner,task_size,large,4.5,1
The Streamliner,arc_shape,jump_in,63.6,14
The Streamliner,arc_shape,unknown,18.2,4
The Streamliner,arc_shape,setup_first,9.1,2
The Streamliner,arc_shape,explore_first,9.1,2
The Streamliner,task_type,implementation,22.7,5
The Streamliner,task_type,configuration,18.2,4
The Streamliner,task_type,unknown,18.2,4
The Streamliner,task_type,debugging,18.2,4
The Streamliner,task_type,refactor,13.6,3
The Streamliner,task_type,documentation,9.1,2
The Generalist,session_shape,One-shot,32.9,128
The Generalist,session_shape,Unassigned,30.3,118
The Generalist,session_shape,Workshop,16.7,65
The Generalist,session_shape,Blueprint,10.0,39
The Generalist,session_shape,Clean handoff,3.3,13
The Generalist,session_shape,Scaffold,2.6,10
The Generalist,session_shape,Marathon Workshop,1.8,7
The Generalist,session_shape,Tight Workshop,1.0,4
The Generalist,session_shape,Drift,0.8,3
The Generalist,session_shape,Marathon,0.3,1
The Generalist,session_shape,Late reveal,0.3,1
The Generalist,interaction_style,delegative,46.3,180
The Generalist,interaction_style,augmentative,30.6,119
The Generalist,interaction_style,unknown,14.4,56
The Generalist,interaction_style,mixed,8.7,34
The Generalist,engagement_depth,moderate,29.3,114
The Generalist,engagement_depth,low,28.8,112
The Generalist,engagement_depth,high,23.9,93
The Generalist,engagement_depth,unknown,14.4,56
The Generalist,engagement_depth,minimal,3.6,14
The Generalist,task_size,small,57.1,222
The Generalist,task_size,medium,38.8,151
The Generalist,task_size,large,3.6,14
The Generalist,task_size,very_large,0.5,2
The Generalist,arc_shape,jump_in,42.4,165
The Generalist,arc_shape,setup_first,28.5,111
The Generalist,arc_shape,unknown,14.4,56
The Generalist,arc_shape,explore_first,11.6,45
The Generalist,arc_shape,iterative,3.1,12
The Generalist,task_type,implementation,24.9,97
The Generalist,task_type,debugging,21.1,82
The Generalist,task_type,unknown,14.4,56
The Generalist,task_type,refactor,14.1,55
The Generalist,task_type,configuration,9.8,38
The Generalist,task_type,exploration,4.4,17
The Generalist,task_type,migration,3.9,15
The Generalist,task_type,documentation,3.9,15
The Generalist,task_type,other,3.6,14
