archetype,categorical_field,bucket,share_pct,n_sessions
The Spec-First Architect,session_shape,Marathon Workshop,0.9,1
The Spec-First Architect,session_shape,Marathon,0.9,1
The Spec-First Architect,interaction_style,delegative,51.3,58
The Spec-First Architect,interaction_style,augmentative,26.5,30
The Spec-First Architect,interaction_style,unknown,11.5,13
The Spec-First Architect,interaction_style,mixed,10.6,12
The Spec-First Architect,engagement_depth,moderate,37.2,42
The Spec-First Architect,engagement_depth,high,24.8,28
The Spec-First Architect,engagement_depth,low,18.6,21
The Spec-First Architect,engagement_depth,unknown,11.5,13
The Spec-First Architect,engagement_depth,minimal,8.0,9
The Spec-First Architect,task_size,small,67.3,76
The Spec-First Architect,task_size,medium,31.0,35
The Spec-First Architect,task_size,large,1.8,2
The Spec-First Architect,arc_shape,setup_first,41.6,47
The Spec-First Architect,arc_shape,jump_in,35.4,40
The Spec-First Architect,arc_shape,unknown,11.5,13
The Spec-First Architect,arc_shape,explore_first,8.0,9
The Spec-First Architect,arc_shape,iterative,3.5,4
The Spec-First Architect,task_type,implementation,40.7,46
The Spec-First Architect,task_type,debugging,15.0,17
The Spec-First Architect,task_type,refactor,13.3,15
The Spec-First Architect,task_type,unknown,11.5,13
The Spec-First Architect,task_type,other,10.6,12
The Spec-First Architect,task_type,documentation,4.4,5
The Spec-First Architect,task_type,configuration,3.5,4
The Spec-First Architect,task_type,migration,0.9,1
The Prompt Minimalist,session_shape,Unassigned,72.7,16
The Prompt Minimalist,session_shape,One-shot,9.1,2
The Prompt Minimalist,session_shape,Workshop,4.5,1
The Prompt Minimalist,session_shape,Clean handoff,4.5,1
The Prompt Minimalist,session_shape,Marathon Workshop,4.5,1
The Prompt Minimalist,session_shape,Tight Workshop,4.5,1
The Prompt Minimalist,interaction_style,delegative,45.5,10
The Prompt Minimalist,interaction_style,unknown,18.2,4
The Prompt Minimalist,interaction_style,augmentative,18.2,4
The Prompt Minimalist,interaction_style,mixed,18.2,4
The Prompt Minimalist,engagement_depth,moderate,45.5,10
The Prompt Minimalist,engagement_depth,high,22.7,5
The Prompt Minimalist,engagement_depth,unknown,18.2,4
The Prompt Minimalist,engagement_depth,low,9.1,2
The Prompt Minimalist,engagement_depth,minimal,4.5,1
The Prompt Minimalist,task_size,medium,81.8,18
The Prompt Minimalist,task_size,small,13.6,3
The Prompt Minimalist,task_size,large,4.5,1
The Prompt Minimalist,arc_shape,jump_in,63.6,14
The Prompt Minimalist,arc_shape,unknown,18.2,4
The Prompt Minimalist,arc_shape,setup_first,9.1,2
The Prompt Minimalist,arc_shape,explore_first,9.1,2
The Prompt Minimalist,task_type,implementation,22.7,5
The Prompt Minimalist,task_type,configuration,18.2,4
The Prompt Minimalist,task_type,unknown,18.2,4
The Prompt Minimalist,task_type,debugging,18.2,4
The Prompt Minimalist,task_type,refactor,13.6,3
The Prompt Minimalist,task_type,documentation,9.1,2
The Multi-Mode Journeyman,session_shape,One-shot,32.9,128
The Multi-Mode Journeyman,session_shape,Unassigned,30.3,118
The Multi-Mode Journeyman,session_shape,Workshop,16.7,65
The Multi-Mode Journeyman,session_shape,Blueprint,10.0,39
The Multi-Mode Journeyman,session_shape,Clean handoff,3.3,13
The Multi-Mode Journeyman,session_shape,Scaffold,2.6,10
The Multi-Mode Journeyman,session_shape,Marathon Workshop,1.8,7
The Multi-Mode Journeyman,session_shape,Tight Workshop,1.0,4
The Multi-Mode Journeyman,session_shape,Drift,0.8,3
The Multi-Mode Journeyman,session_shape,Marathon,0.3,1
The Multi-Mode Journeyman,session_shape,Late reveal,0.3,1
The Multi-Mode Journeyman,interaction_style,delegative,46.3,180
The Multi-Mode Journeyman,interaction_style,augmentative,30.6,119
The Multi-Mode Journeyman,interaction_style,unknown,14.4,56
The Multi-Mode Journeyman,interaction_style,mixed,8.7,34
The Multi-Mode Journeyman,engagement_depth,moderate,29.3,114
The Multi-Mode Journeyman,engagement_depth,low,28.8,112
The Multi-Mode Journeyman,engagement_depth,high,23.9,93
The Multi-Mode Journeyman,engagement_depth,unknown,14.4,56
The Multi-Mode Journeyman,engagement_depth,minimal,3.6,14
The Multi-Mode Journeyman,task_size,small,57.1,222
The Multi-Mode Journeyman,task_size,medium,38.8,151
The Multi-Mode Journeyman,task_size,large,3.6,14
The Multi-Mode Journeyman,task_size,very_large,0.5,2
The Multi-Mode Journeyman,arc_shape,jump_in,42.4,165
The Multi-Mode Journeyman,arc_shape,setup_first,28.5,111
The Multi-Mode Journeyman,arc_shape,unknown,14.4,56
The Multi-Mode Journeyman,arc_shape,explore_first,11.6,45
The Multi-Mode Journeyman,arc_shape,iterative,3.1,12
The Multi-Mode Journeyman,task_type,implementation,24.9,97
The Multi-Mode Journeyman,task_type,debugging,21.1,82
The Multi-Mode Journeyman,task_type,unknown,14.4,56
The Multi-Mode Journeyman,task_type,refactor,14.1,55
The Multi-Mode Journeyman,task_type,configuration,9.8,38
The Multi-Mode Journeyman,task_type,exploration,4.4,17
The Multi-Mode Journeyman,task_type,migration,3.9,15
The Multi-Mode Journeyman,task_type,documentation,3.9,15
The Multi-Mode Journeyman,task_type,other,3.6,14
